geoid,NAME,B19013_001E,state,county,tract,block group,table
360670160012,"Block Group 2, Census Tract 160.01, Onondaga County, New York",72546,36,067,016001,2,b19013
360670161001,"Block Group 1, Census Tract 161, Onondaga County, New York",99773,36,067,016100,1,b19013
360670164002,"Block Group 2, Census Tract 164, Onondaga County, New York",99741,36,067,016400,2,b19013
360670164001,"Block Group 1, Census Tract 164, Onondaga County, New York",67857,36,067,016400,1,b19013
360670164003,"Block Group 3, Census Tract 164, Onondaga County, New York",51049,36,067,016400,3,b19013
360670009001,"Block Group 1, Census Tract 9, Onondaga County, New York",41618,36,067,000900,1,b19013
360670009002,"Block Group 2, Census Tract 9, Onondaga County, New York",79875,36,067,000900,2,b19013
360670020002,"Block Group 2, Census Tract 20, Onondaga County, New York",35759,36,067,002000,2,b19013
360670020001,"Block Group 1, Census Tract 20, Onondaga County, New York",25278,36,067,002000,1,b19013
360670030002,"Block Group 2, Census Tract 30, Onondaga County, New York",12378,36,067,003000,2,b19013
360670044002,"Block Group 2, Census Tract 44, Onondaga County, New York",29954,36,067,004400,2,b19013
360670044001,"Block Group 1, Census Tract 44, Onondaga County, New York",-666666666,36,067,004400,1,b19013
360670004002,"Block Group 2, Census Tract 4, Onondaga County, New York",51125,36,067,000400,2,b19013
360670007001,"Block Group 1, Census Tract 7, Onondaga County, New York",27969,36,067,000700,1,b19013
360670007002,"Block Group 2, Census Tract 7, Onondaga County, New York",36759,36,067,000700,2,b19013
360670010004,"Block Group 4, Census Tract 10, Onondaga County, New York",22600,36,067,001000,4,b19013
360670010002,"Block Group 2, Census Tract 10, Onondaga County, New York",38194,36,067,001000,2,b19013
360670152012,"Block Group 2, Census Tract 152.01, Onondaga County, New York",61897,36,067,015201,2,b19013
360670152011,"Block Group 1, Census Tract 152.01, Onondaga County, New York",124688,36,067,015201,1,b19013
360670107001,"Block Group 1, Census Tract 107, Onondaga County, New York",44344,36,067,010700,1,b19013
360670107002,"Block Group 2, Census Tract 107, Onondaga County, New York",68571,36,067,010700,2,b19013
360670120002,"Block Group 2, Census Tract 120, Onondaga County, New York",57614,36,067,012000,2,b19013
360670120004,"Block Group 4, Census Tract 120, Onondaga County, New York",61842,36,067,012000,4,b19013
360670120003,"Block Group 3, Census Tract 120, Onondaga County, New York",73125,36,067,012000,3,b19013
360670132002,"Block Group 2, Census Tract 132, Onondaga County, New York",88750,36,067,013200,2,b19013
360670151002,"Block Group 2, Census Tract 151, Onondaga County, New York",54167,36,067,015100,2,b19013
360670056021,"Block Group 1, Census Tract 56.02, Onondaga County, New York",-666666666,36,067,005602,1,b19013
360670168012,"Block Group 2, Census Tract 168.01, Onondaga County, New York",96023,36,067,016801,2,b19013
