geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,block group,table
360670120003,"Block Group 3, Census Tract 120, Onondaga County, New York",429,391,38,36,067,012000,3,b25002
360670132002,"Block Group 2, Census Tract 132, Onondaga County, New York",631,612,19,36,067,013200,2,b25002
360670151002,"Block Group 2, Census Tract 151, Onondaga County, New York",302,258,44,36,067,015100,2,b25002
360670056021,"Block Group 1, Census Tract 56.02, Onondaga County, New York",165,63,102,36,067,005602,1,b25002
360670168012,"Block Group 2, Census Tract 168.01, Onondaga County, New York",801,423,378,36,067,016801,2,b25002
360670014002,"Block Group 2, Census Tract 14, Onondaga County, New York",594,450,144,36,067,001400,2,b25002
360670139001,"Block Group 1, Census Tract 139, Onondaga County, New York",692,653,39,36,067,013900,1,b25002
360670052002,"Block Group 2, Census Tract 52, Onondaga County, New York",395,259,136,36,067,005200,2,b25002
360670052003,"Block Group 3, Census Tract 52, Onondaga County, New York",303,261,42,36,067,005200,3,b25002
360670061032,"Block Group 2, Census Tract 61.03, Onondaga County, New York",369,311,58,36,067,006103,2,b25002
360670061031,"Block Group 1, Census Tract 61.03, Onondaga County, New York",826,748,78,36,067,006103,1,b25002
360670102002,"Block Group 2, Census Tract 102, Onondaga County, New York",585,502,83,36,067,010200,2,b25002
360670102001,"Block Group 1, Census Tract 102, Onondaga County, New York",1368,1284,84,36,067,010200,1,b25002
360670103015,"Block Group 5, Census Tract 103.01, Onondaga County, New York",772,724,48,36,067,010301,5,b25002
360670027003,"Block Group 3, Census Tract 27, Onondaga County, New York",333,273,60,36,067,002700,3,b25002
360670027002,"Block Group 2, Census Tract 27, Onondaga County, New York",365,328,37,36,067,002700,2,b25002
360670036012,"Block Group 2, Census Tract 36.01, Onondaga County, New York",563,451,112,36,067,003601,2,b25002
360670110211,"Block Group 1, Census Tract 110.21, Onondaga County, New York",652,590,62,36,067,011021,1,b25002
360670054002,"Block Group 2, Census Tract 54, Onondaga County, New York",314,215,99,36,067,005400,2,b25002
