geoid,pop,units,med_inc,shr_poc,shr_occ
360670032002,1861.0,565.0,16380.0,0.4949,1.0
360670034001,1393.0,977.0,21563.0,0.6095,0.6878
360670035001,1076.0,445.0,50972.0,0.3401,0.8472
360670035002,538.0,321.0,13380.0,0.7881,0.81
360670035003,823.0,541.0,22935.0,0.6367,0.7874
360670036011,1154.0,476.0,28788.0,0.8501,0.9286
360670036012,1358.0,563.0,42663.0,0.7732,0.8011
360670036021,1091.0,608.0,38092.0,0.5124,0.8322
360670036022,1153.0,430.0,61667.0,0.6592,0.893
360670038001,1181.0,496.0,32931.0,0.6799,0.754
360670038002,1120.0,498.0,28555.0,0.2973,0.8574
360670039001,423.0,284.0,13542.0,0.818,0.5704
360670039002,823.0,441.0,29613.0,0.5905,0.7143
360670039003,1791.0,946.0,12351.0,0.7147,0.611
360670040001,1387.0,707.0,18083.0,0.6172,0.6563
360670042001,984.0,477.0,10505.0,0.8811,0.9371
360670042002,1261.0,473.0,11987.0,0.8065,0.8309
360670043011,1502.0,625.0,10547.0,0.5446,0.752
360670043021,366.0,303.0,8460.0,0.3388,0.4125
360670043022,5686.0,85.0,,0.3243,0.6706
360670043023,786.0,536.0,12724.0,0.355,0.7369
360670044001,457.0,240.0,,0.2013,0.6875
360670044002,1236.0,573.0,29954.0,0.1966,0.7417
360670045001,767.0,327.0,83438.0,0.3768,0.8318
360670045002,1502.0,630.0,71544.0,0.1957,0.9667
360670045003,1048.0,383.0,45707.0,0.146,0.9478
360670045004,750.0,488.0,29375.0,0.164,0.5881
360670046001,1216.0,409.0,,0.2936,0.6626
360670046002,1131.0,518.0,99667.0,0.2087,1.0
360670046003,932.0,610.0,88542.0,0.0901,0.8246
360670046004,802.0,460.0,98768.0,0.2656,0.8935
360670046005,537.0,284.0,,0.2831,0.7113
360670048001,748.0,328.0,72115.0,0.2834,0.9573
360670048002,793.0,415.0,93750.0,0.082,0.9325
360670049001,807.0,387.0,42955.0,0.6159,0.7649
360670049002,537.0,270.0,85208.0,0.2477,0.8407
360670050001,1039.0,623.0,54448.0,0.4283,0.7753
360670050002,1283.0,543.0,86196.0,0.1348,0.9466
360670051001,591.0,349.0,30417.0,0.8003,0.7822
360670051002,813.0,449.0,33250.0,0.8413,0.6325
360670051003,853.0,362.0,40391.0,0.7292,0.7956
360670052001,488.0,245.0,37292.0,0.7643,0.7796
360670052002,602.0,395.0,35337.0,0.8605,0.6557
360670052003,980.0,303.0,46648.0,0.7704,0.8614
360670053001,562.0,264.0,58333.0,0.9893,0.697
360670053002,1368.0,427.0,17176.0,0.8772,0.7752
360670054001,499.0,244.0,24417.0,0.9419,0.6762
360670054002,551.0,314.0,38162.0,0.8966,0.6847
