GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction,pop,units,med_inc,shr_poc,shr_occ,District
360670043011,1.563672815,4.144841919,0.377257528,0,0.100325701,0,3.342864804,0.078134018,0.018850904,1502.0,625.0,10547.0,0.5446,0.752,1
360670043021,1.295524516,1.748306917,0.741016639,0.003163163,0.055084499,5.742383735,3.309576713,0,0,366.0,303.0,8460.0,0.3388,0.4125,1
360670043022,2.704482696,5.837089099,0.463327294,0.000502195,0.261961585,0.191705645,3.353184706,0.20182145,0.034575701,5686.0,85.0,,0.3243,0.6706,1
360670043023,1.85922864,2.601602434,0.714647487,0.001744033,0.059100421,2.95096524,2.146141503,0,0,786.0,536.0,12724.0,0.355,0.7369,1
360670044001,0.42905478,3.303772442,0.129868139,0.021698402,0.153218085,14.16177611,3.983995323,0,0,457.0,240.0,,0.2013,0.6875,7
360670044002,0.555424069,3.260246394,0.170362605,0.086029845,0.104646221,82.21017849,3.619715364,0.17288491,0.053028173,1236.0,573.0,29954.0,0.1966,0.7417,8
360670045001,0.611182177,2.279768218,0.268089612,0.05535719,0.060960812,90.80782988,2.034316983,0,0,767.0,327.0,83438.0,0.3768,0.8318,7
360670045002,0.965075441,3.650094613,0.264397377,0.084012051,0.089303606,94.07464543,2.031367032,0,0,1502.0,630.0,71544.0,0.1957,0.9667,8
360670045003,0.558648874,2.300756973,0.242810901,0.065604874,0.082103453,79.90513375,3.736300442,0,0,1048.0,383.0,45707.0,0.146,0.9478,8
360670045004,0.325803127,1.843104067,0.176768709,0.043010922,0.05738308,74.95401502,2.237430655,0,0,750.0,488.0,29375.0,0.164,0.5881,7
360670046001,1.612221572,4.690299938,0.343735282,0.086995162,0.161178629,53.97437745,3.982716206,0.050649506,0.010798778,1216.0,409.0,,0.2936,0.6626,7
360670046002,3.02310034,7.367127646,0.410349934,0.280199315,0.41407634,67.66851616,4.153477549,0.307197609,0.041698424,1131.0,518.0,99667.0,0.2087,1.0,8
360670046003,2.325368361,6.767759523,0.343595004,0.206885364,0.209962367,98.53449791,3.072781804,0.462750282,0.068375698,932.0,610.0,88542.0,0.0901,0.8246,8
360670046004,1.401404474,3.987985281,0.351406631,0.114975334,0.143398848,80.17870138,3.012960205,0.106575132,0.026724053,802.0,460.0,98768.0,0.2656,0.8935,7
360670046005,1.674640012,3.86965175,0.43276246,0.087839731,0.227612371,38.59180877,3.151199747,0.730835743,0.18886344,537.0,284.0,,0.2831,0.7113,7
360670048001,1.050047561,2.821611215,0.372144665,0.091897662,0.095271709,96.45850004,4.903843113,0.045206165,0.016021401,748.0,328.0,72115.0,0.2834,0.9573,10
360670048002,2.081672514,4.226727421,0.492502191,0.177220169,0.279802214,63.33765796,4.67685676,0.362561333,0.085778262,793.0,415.0,93750.0,0.082,0.9325,10
360670049001,0.377759351,1.94125938,0.194594991,0.050100259,0.05296041,94.59945541,6.759872799,0,0,807.0,387.0,42955.0,0.6159,0.7649,10
360670049002,1.41045603,3.497727958,0.403249208,0.08433808,0.222457448,37.9120055,3.103893593,0.176431078,0.050441624,537.0,270.0,85208.0,0.2477,0.8407,10
