X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,FID
-76.1035106281362,43.0464704092824,263             ,SNOW & ICE,2017/03/13 05:17:28+00,2017/03/13 05:17:28+00,721 SALT SPRINGS RD & SEELEY                      ,    Stop Moving,-76.1035106281362,43.0464704092824,2009
-76.115533732538,43.053426410096,261             ,SNOW & ICE,2017/03/13 05:17:29+00,2017/03/13 05:17:30+00,320 PEAT ST                                       ,    Plow Down,-76.115533732538,43.053426410096,2010
-76.1161159311875,43.032006206136,286             ,SNOW & ICE,2017/03/13 05:17:29+00,2017/03/13 05:17:30+00,252 MILES AVE & KENSINGTON RD                     ,    ,-76.1161159311875,43.032006206136,2011
-76.1707786500901,43.0482406070043,285             ,SNOW & ICE,2017/03/13 05:17:31+00,2017/03/13 05:17:31+00,100 GEDDES ST N & ERIE BLVD W                     ,    Start Moving,-76.1707786500901,43.0482406070043,2012
-76.1153151325279,43.0542734102601,216             ,SNOW & ICE,2017/03/13 05:17:32+00,2017/03/13 05:17:32+00,338 PEAT ST & CANAL ST                            ,    ,-76.1153151325279,43.0542734102601,2013
-76.1140036325029,43.0598432113343,262             ,SNOW & ICE,2017/03/13 05:17:33+00,2017/03/12 06:42:51+00,452 HICKOK AVE                                    ,    ,-76.1140036325029,43.0598432113343,2014
-76.1160361311525,43.0318802061159,286             ,SNOW & ICE,2017/03/13 05:17:34+00,2017/03/13 05:17:35+00,620 KENSINGTON RD & MILES AVE                     ,    Stop Moving,-76.1160361311525,43.0318802061159,2015
-76.103618928158,43.0462852092442,263             ,SNOW & ICE,2017/03/13 05:17:35+00,2017/03/13 05:17:35+00,721 SALT SPRINGS RD & SEELEY                      ,    ,-76.103618928158,43.0462852092442,2016
-76.1160269311496,43.0318816061165,286             ,SNOW & ICE,2017/03/13 05:17:39+00,2017/03/13 05:17:40+00,620 KENSINGTON RD & MILES AVE                     ,    ,-76.1160269311496,43.0318816061165,2017
-76.103859128233,43.0462434092272,263             ,SNOW & ICE,2017/03/13 05:17:40+00,2017/03/13 05:17:40+00,717 SALT SPRINGS RD                               ,    Start Moving,-76.103859128233,43.0462434092272,2018
-76.1644742464755,43.0264409032417,283             ,SNOW & ICE,2017/03/13 05:17:41+00,2017/03/13 05:17:41+00,117 ONONDAGA PARK DR SYRACUSE 13207               ,    ,-76.1644742464755,43.0264409032418,2019
-76.1157159327719,43.0558572105357,208             ,SNOW & ICE,2017/03/13 05:17:41+00,2017/03/13 05:17:42+00,1510 BURNET AVE & PEAT ST                         ,    ,-76.1157159327719,43.0558572105357,2020
-76.1113477313239,43.0554346106269,179             ,SNOW & ICE,2017/03/13 05:17:48+00,2017/03/13 05:17:49+00,1820 EB I 690 SYRACUSE 13210                      ,    ,-76.1113477313239,43.0554346106269,2021
-76.1707054501597,43.0495367072452,285             ,SNOW & ICE,2017/03/13 05:17:51+00,2017/03/13 05:17:51+00,133 GEDDES ST N                                   ,    Plow Down,-76.1707054501597,43.0495367072452,2022
-76.1160729311775,43.0320619061479,286             ,SNOW & ICE,2017/03/13 05:17:52+00,2017/03/13 05:17:52+00,252 MILES AVE & KENSINGTON RD                     ,    ,-76.1160729311775,43.0320619061479,2023
-76.1470617396692,43.010325400952,267             ,SNOW & ICE,2017/03/13 05:17:53+00,2017/03/13 05:17:53+00,325 BALLANTYNE RD & MIDLAND A                     ,    ,-76.1470617396692,43.010325400952,2024
-76.1514627462211,43.0815117138637,216             ,SNOW & ICE,2017/03/13 05:42:08+00,2017/03/13 05:42:08+00,1403 LEMOYNE AVE & MARTIN ST                      ,    ,-76.1514627462211,43.0815117138637,2025
-76.1152354322987,43.0514449097434,261             ,SNOW & ICE,2017/03/13 05:17:54+00,2017/03/13 05:17:54+00,1915 ERIE BLVD E & PEAT ST & K                    ,    Stop Moving,-76.1152354322987,43.0514449097434,2026
-76.1537674444805,43.0469821074321,178             ,SNOW & ICE,2017/03/13 05:17:58+00,2017/03/13 05:17:58+00,416-30 CLINTON ST S & JEFFERSON                   ,    ,-76.1537674444805,43.0469821074321,2027
