OBJECTID,GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction
41,360670060001,1.20749347,3.870965948,0.311935958,0.084475345,0.188771356,44.75008653,0.888933165,0.168451276,0.0435166
42,360670060004,1.141264997,2.996324235,0.380888351,0.108313018,0.129169447,83.853435,1.524753254,0.275052252,0.091796558
43,360670061011,2.036820042,5.095860724,0.399700885,0.118990987,0.216709234,54.90812938,3.213847266,0.866771922,0.17009333
44,360670061021,1.287904818,3.30719385,0.389425258,0.014881553,0.099704178,14.92570664,3.199738477,0.154377039,0.046679162
45,360670061022,0.208156727,0.886804083,0.234726848,0.061789922,0.38640854,15.99082721,2.986380609,0.104032692,0.117311923
46,360670061031,0.925531826,7.294804765,0.126875476,0.291668218,0.385674948,75.62539887,2.71963558,1.677130541,0.229907529
47,360670061032,0.44039318,3.301386006,0.133396452,0.114984683,0.240599556,47.79089588,0.588188267,0.714676808,0.216477809
48,360670132001,0.003926087,0.020954799,0.18735979,0,0.0001478,0,4.437070837,0,0
49,360670054004,0.490695051,1.960217874,0.250326791,0.038982774,0.054529897,71.48880965,0.349966857,0,0
50,360670059001,0.946728946,2.394104931,0.395441709,0.043565221,0.071977987,60.52575713,1.32001507,0.143430785,0.059909983
51,360670055002,1.13354945,3.331362783,0.340265988,0.078278579,0.186004324,42.08427933,2.483567485,0.61933248,0.185909647
52,360670055001,1.332329204,3.13086466,0.425546726,0.049099603,0.377464575,13.00773804,2.404886185,0.233168905,0.074474284
53,360670054003,0.750051821,1.703518628,0.440295638,0.023071857,0.047664889,48.40430158,0.924091055,0,0
54,360670036022,0.455003003,3.820110047,0.119107303,0.100899816,0.110335499,91.44818929,2.00291876,0,0
55,360670059002,0.384647384,2.040373224,0.188518149,0.057485067,0.068889969,83.44475759,0.635462884,0.315685871,0.154719669
56,360670014001,0.724818194,1.528051571,0.474341447,0.033697153,0.052403862,64.30280528,2.00690557,0,0
57,360670023001,0.664982143,1.821066076,0.365160909,0.023377741,0.042715513,54.72892486,4.205061218,0,0
58,360670052003,0.416559393,1.733481071,0.240302245,0.034582172,0.046763745,73.95081657,0.487702464,0,0
59,360670007002,0.16473625,2.201887571,0.074815922,0.035382735,0.042676741,82.90870873,3.969981003,0.126386154,0.057399004
60,360670045004,0.325803127,1.843104067,0.176768709,0.043010922,0.05738308,74.95401502,2.237430655,0,0
61,360670003002,0.81177332,2.502347237,0.324404746,0.049120517,0.086276196,56.93403182,1.905753564,0.426212458,0.170325066
62,360670001001,6.924732717,27.44149271,0.252345337,0.009459302,1.919699799,0.492749037,1.472201165,2.491652667,0.090798729
63,360670002001,2.814114289,6.933595174,0.405866541,0.120584731,0.178973423,67.37577535,2.553522885,0.110894872,0.015993849
64,360670002002,1.729800623,4.193004648,0.412544409,0.057829499,0.110795066,52.19501251,2.011153871,0,0
65,360670003001,0.696710169,2.211266746,0.315072874,0.05883627,0.07061193,83.32341334,0.98036786,0.055268325,0.024993966
66,360670006002,0.500005326,2.027272331,0.246639446,0.036039253,0.045279311,79.59320072,2.803207626,0.012195099,0.006015521
67,360670004002,1.36002655,2.956354254,0.460035041,0.053364724,0.094192201,56.65514105,1.618505879,0.073666386,0.024917983
68,360670004003,0.468651744,2.157339351,0.217235987,0.068297164,0.081305043,84.00114106,1.848514951,0,0
69,360670005011,2.877085661,5.236667351,0.549411576,0.029356402,0.082336144,35.65433156,2.234335092,0.049556909,0.009463444
70,360670006003,0.86784485,1.637260928,0.530058975,0.027361177,0.047868227,57.15937041,2.988402381,0,0
71,360670007001,0.43244349,1.680124348,0.257387788,0.037665816,0.041178493,91.46963248,2.314659523,0.025634094,0.01525726
72,360670008001,0.667056297,3.558069511,0.187477028,0.073016936,0.079760857,91.54482391,2.501764664,0.076780329,0.02157921
73,360670009002,1.977036421,5.039485294,0.392309196,0.156148026,0.180956621,86.29030821,1.52824778,0.116839382,0.023184785
74,360670009003,0.514996323,3.508237434,0.146796314,0.096282231,0.123406882,78.02014743,0.814710447,0,0
75,360670010001,0.41791316,1.691103324,0.247124557,0.044245725,0.118396462,37.37081694,2.286386111,0.174276516,0.103054919
76,360670058003,0.250360798,1.580547058,0.158401357,0.054674105,0.072830789,75.07004411,0.355323037,0.106429226,0.067336955
77,360670035002,2.702228573,5.692261599,0.474719674,0.019882112,0.187474566,10.60523139,2.010714131,0.470320226,0.082624492
78,360670048001,1.050047561,2.821611215,0.372144665,0.091897662,0.095271709,96.45850004,4.903843113,0.045206165,0.016021401
79,360670018002,0,1.527769038,0,0.044488161,0.045245574,98.32599679,1.349851108,0,0
80,360670027003,0.340793547,1.706742898,0.1996748,0.04539484,0.051695851,87.81138017,2.574722302,0,0
81,360670009001,0.544906371,1.910304276,0.285245852,0.070940746,0.073437523,96.60013466,0.638736617,0,0
82,360670045001,0.611182177,2.279768218,0.268089612,0.05535719,0.060960812,90.80782988,2.034316983,0,0
83,360670015001,0.586462641,3.437582556,0.170603216,0.066354048,0.101899316,65.11726601,3.350962719,0.070123883,0.020399185
84,360670021013,0.661638664,2.481743504,0.266602356,0.038262787,0.093906252,40.74572928,0.955280019,0.325020693,0.130964659
85,360670049001,0.377759351,1.94125938,0.194594991,0.050100259,0.05296041,94.59945541,6.759872799,0,0
86,360670010002,0.404880782,3.250926651,0.124543192,0.071933455,0.090077807,79.85702246,2.353385597,0,0
87,360670010003,0,1.618955193,0,0.052913463,0.081019185,65.30979424,2.612814882,0.131757261,0.081384131
88,360670010004,0.404989671,2.295835745,0.176401849,0.008661853,0.084471165,10.2542132,1.214733082,0.218528754,0.095184838
89,360670014003,0.397851118,1.298099167,0.306487462,0.022564236,0.024529587,91.98783587,3.788214522,0,0
90,360670005012,1.644142713,3.173366482,0.518106787,0.013732267,0.064801012,21.19143885,1.965492604,0,0
91,360670017012,0.776484768,4.25426674,0.18251906,0.059366274,0.13249578,44.80616164,4.386148399,0.107113155,0.025177818
92,360670015002,0.817165047,1.567039202,0.521470711,0.03251801,0.043843017,74.16919052,3.361541037,0,0
93,360670016001,1.054382691,2.162049905,0.487677314,0.011431201,0.116472035,9.814545212,3.016214473,0,0
94,360670017011,0.642547337,3.138188748,0.204751017,0.075522841,0.093513197,80.76169332,3.949998797,0.105762024,0.033701613
95,360670017021,0.445206786,2.382565615,0.186860241,0.063127506,0.069856666,90.36718981,1.361629393,0,0
96,360670019001,0.6710721,2.646293401,0.253589454,0.061504369,0.074833998,82.18773629,4.206676055,0.204019272,0.07709624
97,360670019002,1.264933173,4.659690535,0.271462914,0.051977836,0.097211398,53.46887004,4.521845427,0.045364778,0.009735577
98,360670019003,0.524731315,3.221600832,0.16287906,0.070794251,0.08419732,84.08135931,3.838140053,0,0
99,360670019004,0.156888098,2.649381081,0.059216886,0.076226999,0.077050935,98.93066132,2.035637719,0,0
100,360670006001,0.710962675,2.040732956,0.348385943,0.046013686,0.0703043,65.4493204,3.443532803,0.156405862,0.076642004
101,360670056021,0.182032738,4.718784856,0.038576189,0.009096918,0.379747307,2.395518745,3.173102203,0.500049755,0.105970026
102,360670024002,0.460036347,1.582374894,0.290725257,0.022760773,0.040064769,56.80994464,3.672312273,0.158949453,0.100449933
103,360670035003,0.762719908,1.838177329,0.414932714,0.028940738,0.057453673,50.37230372,4.948971417,0.066289343,0.036062539
104,360670021012,2.308801962,7.621853832,0.302918688,0.031754933,0.176996469,17.9409978,0.873086927,0,0
105,360670019005,0.413675108,2.67779403,0.154483543,0.062266426,0.083835557,74.27209691,2.19448534,0.057609333,0.021513728
106,360670020001,1.527009024,5.478443902,0.27873043,0.049758828,0.187722175,26.50663324,2.341147367,0.492497551,0.089897343
107,360670020002,0.757738734,2.78840054,0.271746732,0.06634365,0.079017826,83.96035838,2.217954635,0.398707484,0.142987881
108,360670021011,1.339025876,3.096315441,0.432457836,0.025144335,0.145205512,17.31637768,1.166104812,0.077929847,0.025168575
109,360670061013,0.727347743,3.087130454,0.235606416,0.070018782,0.120193797,58.25490444,0.394782377,0.762593263,0.247023336
110,360670023002,2.111642873,4.194242928,0.503462224,0.003540883,0.076960323,4.600920259,3.43427397,0.0704511,0.016797096
111,360670024001,1.150467045,2.715864249,0.423609923,0.038067504,0.085529853,44.50785582,2.082627383,0.214342877,0.07892253
112,360670027001,0.555030996,1.393878858,0.398191703,0.033730921,0.051918723,64.96870301,2.878416839,0.085890861,0.061620033
113,360670027002,0.543481408,1.714805703,0.316934687,0.032454369,0.046356476,70.01043142,3.595985409,0.019325841,0.011269989
114,360670030001,3.217225798,6.189483068,0.519789094,0.020638869,0.186513388,11.06562352,0.871622217,0.387159182,0.062551134
115,360670038001,1.205160309,3.567138045,0.337850763,0.053267641,0.094848356,56.16084769,0.864661422,0.22906987,0.06421671
116,360670018001,0.18477357,1.671027138,0.110574847,0.037876253,0.050280852,75.32937803,1.969297891,0,0
117,360670008002,0.509112009,3.676773948,0.138467041,0.053457738,0.123687655,43.21994614,2.556625158,0.183769077,0.049981065
118,360670036011,2.589652798,5.728445535,0.452069027,0.056145151,0.237094907,23.68045419,2.904937265,0.155637372,0.027169216
119,360670032001,4.673901345,8.053808688,0.58033429,0,0.183310405,0,0.761513729,0.12839607,0.01594228
120,360670032002,4.011897786,6.386116953,0.628221784,0,0.119047436,0,0.594368196,0.248491247,0.038911164
121,360670035001,0.790816668,2.717810764,0.290975619,0.054773805,0.080186196,68.30827219,2.081652266,0.049529765,0.01822414
122,360670036012,0.696905991,2.625031989,0.265484761,0.079140033,0.087389081,90.56055109,3.123420245,0,0
123,360670038002,1.376064681,2.482862097,0.554225175,0.05328246,0.135092104,39.44157965,2.872808745,0.125727192,0.050638008
124,360670039001,0.505942425,1.668631511,0.303208001,0.03145401,0.051628507,60.92372574,0.191846651,0,0
125,360670039002,1.176944687,2.566518162,0.458576411,0.048736243,0.070084136,69.53962105,2.412391215,0,0
126,360670046002,3.02310034,7.367127646,0.410349934,0.280199315,0.41407634,67.66851616,4.153477549,0.307197609,0.041698424
127,360670043011,1.563672815,4.144841919,0.377257528,0,0.100325701,0,3.342864804,0.078134018,0.018850904
128,360670044001,0.42905478,3.303772442,0.129868139,0.021698402,0.153218085,14.16177611,3.983995323,0,0
129,360670045002,0.965075441,3.650094613,0.264397377,0.084012051,0.089303606,94.07464543,2.031367032,0,0
130,360670045003,0.558648874,2.300756973,0.242810901,0.065604874,0.082103453,79.90513375,3.736300442,0,0
131,360670046001,1.612221572,4.690299938,0.343735282,0.086995162,0.161178629,53.97437745,3.982716206,0.050649506,0.010798778
132,360670046003,2.325368361,6.767759523,0.343595004,0.206885364,0.209962367,98.53449791,3.072781804,0.462750282,0.068375698
133,360670046004,1.401404474,3.987985281,0.351406631,0.114975334,0.143398848,80.17870138,3.012960205,0.106575132,0.026724053
134,360670046005,1.674640012,3.86965175,0.43276246,0.087839731,0.227612371,38.59180877,3.151199747,0.730835743,0.18886344
135,360670048002,2.081672514,4.226727421,0.492502191,0.177220169,0.279802214,63.33765796,4.67685676,0.362561333,0.085778262
